Time,Parts0_X,Parts0_Y,Parts0_Z,Parts1_X,Parts1_Y,Parts1_Z,Parts2_X,Parts2_Y,Parts2_Z,Parts3_X,Parts3_Y,Parts3_Z,Parts4_X,Parts4_Y,Parts4_Z,Parts5_X,Parts5_Y,Parts5_Z,Parts6_X,Parts6_Y,Parts6_Z,Parts7_X,Parts7_Y,Parts7_Z,Parts8_X,Parts8_Y,Parts8_Z,Parts9_X,Parts9_Y,Parts9_Z,Parts10_X,Parts10_Y,Parts10_Z,Parts11_X,Parts11_Y,Parts11_Z,Parts12_X,Parts12_Y,Parts12_Z,Parts13_X,Parts13_Y,Parts13_Z,Parts14_X,Parts14_Y,Parts14_Z
44.1999558,23.57523,437.0839,55.75031,15.26785,216.3097,26.2778,0,0,0,-134.5365,226.1563,23.50482,-306.7187,16.19307,-37.44803,-277.2927,-18.98367,219.4629,161.2083,206.0981,23.50482,268.4037,-62.34949,20.21035,268.688,-94.29623,289.6371,-96.46552,-213.1773,-20.8375,-54.56779,-634.9155,89.50349,-29.35472,-1066.337,9.039067,70.18862,-225.8982,-20.39982,120.2695,-662.4474,-17.36234,132.5943,-1024.023,-213.5443
44.2666224,7.799214,436.6494,49.69086,7.805181,217.9745,22.54303,0,0,0,-152.97,219.474,20.57027,-353.2289,65.6944,-33.67261,-300.8329,32.67615,225.2747,168.284,216.4727,20.57028,250.063,-58.06524,66.28568,195.6326,-99.01718,340.7567,-94.30074,-220.0327,-22.0854,-51.26007,-643.473,87.70206,-25.10833,-1071.435,-38.72541,85.94398,-222.2176,-17.38792,141.5052,-657.6224,-3.831704,76.94503,-996.8389,-251.9317
44.333289,7.310216,436.7583,50.67958,6.328913,217.8984,22.57632,0,0,0,-154.0761,221.8394,21.53936,-327.617,68.22191,-18.3345,-270.0532,48.31288,220.2158,166.5933,222.3763,21.53935,253.4743,-64.49545,39.93587,223.6644,-105.3348,312.8094,-96.94569,-221.7219,-17.62505,-45.90727,-642.3834,89.16753,-25.27393,-1070.376,-36.10288,84.71935,-223.6541,-19.90238,133.0016,-669.5166,-6.916592,63.91978,-998.3942,-264.9694
44.3999556,0.7506618,444.4423,31.66229,-0.6883133,222.2168,18.64953,0,0,0,-167.4217,220.2269,17.83894,-375.8622,137.7888,-21.5002,-338.2346,117.7573,230.126,163.7068,224.255,17.83894,256.5828,-40.2916,98.57447,219.6496,-62.71934,319.3773,-93.08305,-224.1796,-19.29661,-43.64109,-649.247,66.18766,-50.11235,-1066.785,-69.05034,95.13451,-219.5323,-17.03976,151.5983,-680.8059,41.00393,29.47039,-992.848,-218.4369
44.4666222,28.55075,480.6799,-16.94546,7.308989,220.3604,2.803035,0,0,0,-145.6404,222.363,-0.4381322,-388.815,282.852,49.71986,-332.7003,301.3796,315.8401,160.1845,218.5219,-0.4381395,347.5746,31.00504,75.65038,433.0449,17.50481,345.6287,-104.6973,-222.1583,-9.682239,14.58212,-658.6888,9.873822,-43.94524,-1077.529,-93.554,87.19917,-221.506,-0.4079656,205.3256,-648.2372,87.12525,141.2251,-982.8587,-44.5966
44.5332888,0.5092209,482.7308,-48.63019,-3.907137,216.7505,3.387165,0,0,0,-162.3027,213.7115,0.9589891,-389.1991,284.9364,81.44823,-326.8248,336.7595,309.413,154.7238,220.6446,0.958997,348.3148,51.06992,10.92731,515.0795,15.2361,241.6931,-88.34427,-223.677,7.745913,-3.995697,-668.913,1.13732,-63.44626,-1058.558,-93.11939,94.94536,-218.038,-0.731126,257.8018,-637.3041,66.53676,163.5652,-961.5029,18.0108
44.5999554,11.72016,481.9358,-52.24233,-14.74265,216.7631,-7.851226,0,0,0,-164.3128,208.8347,-9.381896,-428.8558,330.0323,76.08104,-421.7243,438.3429,283.6885,142.927,223.6045,-9.381889,378.7025,68.50867,-10.31721,598.4629,44.83701,173.0325,-89.21677,-224.9739,16.22828,-33.58879,-675.2822,-13.15085,-114.8195,-1065.709,-117.5821,101.4445,-213.8315,10.33863,264.9195,-633.1364,57.72218,257.7092,-1006.829,76.06873
44.666622,28.56227,482.5288,-56.10039,-18.41083,216.8781,-10.50722,0,0,0,-177.3132,207.1865,-11.92688,-434.9667,329.6426,90.99493,-454.3953,464.7597,272.7224,140.2616,222.7039,-11.92691,375.7522,83.10025,-57.82855,628.1909,42.16568,12.1615,-89.0475,-224.5633,23.82691,-46.2262,-675.2285,-9.454869,-144.5764,-1059.444,-108.5799,106.3719,-213.9463,10.71384,294.086,-636.3179,34.41836,324.7053,-1048.703,77.81021
44.7332886,51.66806,448.3619,-68.66197,6.386771,208.2739,-25.0653,0,0,0,-150.9226,219.9023,-27.2947,-447.5128,270.7231,17.23855,-602.3061,459.2722,139.2116,166.0954,200.6516,-27.2947,382.9778,68.42453,-95.05795,645.9647,6.846054,-66.88962,-97.6283,-206.9751,29.55691,-52.66003,-692.3962,-6.755675,-173.9136,-1075.194,-107.2037,98.10112,-212.9389,24.19289,308.5781,-649.3683,15.35005,420.8673,-1049.493,94.8722
44.7999552,65.95216,413.812,-89.55843,25.0777,202.3529,-38.16442,0,0,0,-142.2627,228.8727,-38.77619,-453.1956,221.5482,-11.74062,-668.2769,392.0741,65.73207,190.6801,178.1819,-38.77618,374.3133,41.07384,-138.8119,671.2014,-29.63339,-156.067,-124.9869,-195.3726,49.03559,-6.528641,-634.4301,14.4587,-191.2233,-1104.633,-81.73003,70.39101,-214.2762,41.00525,295.52,-585.484,-17.83845,420.8969,-1075.808,37.45114
